learning_rate,batch_size,dropout,epochs,run_id,val_loss
2.3e-05,8,0.189971,125,run_01_001_0014,0.9244906834274694
2.3e-05,8,0.189971,125,run_01_001_0016,0.9892561641407887
2.3e-05,8,0.189971,125,run_01_001_0008,0.9977129056881271
2.3e-05,8,0.189971,125,run_01_001_0004,1.0155791429233785
2.3e-05,8,0.189971,125,run_01_001_0001,0.9994033053404818
2.3e-05,8,0.189971,125,run_01_001_0010,0.9913300760606574
2.3e-05,8,0.189971,125,run_01_001_0017,1.046276288944862
2.3e-05,8,0.189971,125,run_01_001_0024,1.0369603170869908
2.3e-05,8,0.189971,125,run_01_001_0011,1.03177024840183
2.3e-05,8,0.189971,125,run_01_001_0003,0.9936172091388937
2.3e-05,8,0.189971,125,run_01_001_0021,1.015309184660307
2.3e-05,8,0.189971,125,run_01_001_0022,0.9506439109052207
2.3e-05,8,0.189971,125,run_01_001_0000,0.9685207340497018
2.3e-05,8,0.189971,125,run_01_001_0012,1.02952776565185
2.3e-05,8,0.189971,125,run_01_001_0009,1.0077817466436927
2.3e-05,8,0.189971,125,run_01_001_0005,0.9595967790904654
2.3e-05,8,0.189971,125,run_01_001_0002,0.9308170394971105
2.3e-05,8,0.189971,125,run_01_001_0020,0.9469227688648414
2.3e-05,8,0.189971,125,run_01_001_0019,0.9964609388540153
2.3e-05,8,0.189971,125,run_01_001_0015,0.9696706866974903
2.3e-05,8,0.189971,125,run_01_001_0006,0.9517868291687984
2.3e-05,8,0.189971,125,run_01_001_0013,1.0153921642731811
2.3e-05,8,0.189971,125,run_01_001_0023,1.0171693882972188
2.3e-05,8,0.189971,125,run_01_001_0007,0.9826402547619103
2.3e-05,8,0.189971,125,run_01_001_0018,0.9956299370923981
