learning_rate,batch_size,dropout,epochs,run_id,val_loss
2.3e-05,8,0.189971,75,run_01_001_0000,1.0256158373283286
2.3e-05,8,0.189971,75,run_01_001_0013,1.0411941362669959
2.3e-05,8,0.189971,75,run_01_001_0001,1.0657580352092915
2.3e-05,8,0.189971,75,run_01_001_0008,1.074950059029163
2.3e-05,8,0.189971,75,run_01_001_0017,1.0883697585043077
2.3e-05,8,0.189971,75,run_01_001_0010,1.054045426594556
2.3e-05,8,0.189971,75,run_01_001_0024,1.007286742613462
2.3e-05,8,0.189971,75,run_01_001_0003,1.0589505376039003
2.3e-05,8,0.189971,75,run_01_001_0011,1.065567484247683
2.3e-05,8,0.189971,75,run_01_001_0021,1.0437044627947643
2.3e-05,8,0.189971,75,run_01_001_0014,1.1053404818860222
2.3e-05,8,0.189971,75,run_01_001_0022,1.0868650893321845
2.3e-05,8,0.189971,75,run_01_001_0009,1.0450311188004324
2.3e-05,8,0.189971,75,run_01_001_0005,1.072479295594603
2.3e-05,8,0.189971,75,run_01_001_0002,1.0596617762952603
2.3e-05,8,0.189971,75,run_01_001_0018,1.0414496503616608
2.3e-05,8,0.189971,75,run_01_001_0016,1.0137896845424343
2.3e-05,8,0.189971,75,run_01_001_0006,1.0188995844457678
