learning_rate,batch_size,dropout,epochs,run_id,val_loss
0.000171,256,0.084165,125,run_01_001_0023,1.0028515285584743
0.000171,256,0.084165,125,run_01_001_0020,1.0053510588984533
0.000171,256,0.084165,125,run_01_001_0013,0.9915224376992645
0.000171,256,0.084165,125,run_01_001_0007,0.97885026709848
0.000171,256,0.084165,125,run_01_001_0008,1.0053014278543253
0.000171,256,0.084165,125,run_01_001_0004,0.9999682561887977
0.000171,256,0.084165,125,run_01_001_0001,0.9711405704179296
0.000171,256,0.084165,125,run_01_001_0010,0.9750550902172627
0.000171,256,0.084165,125,run_01_001_0017,1.0375966545942834
0.000171,256,0.084165,125,run_01_001_0024,0.9964341648845638
0.000171,256,0.084165,125,run_01_001_0003,0.9642122363063537
0.000171,256,0.084165,125,run_01_001_0014,0.9740533400916978
0.000171,256,0.084165,125,run_01_001_0011,0.9926362678896741
0.000171,256,0.084165,125,run_01_001_0021,0.9927291500418304
0.000171,256,0.084165,125,run_01_001_0000,0.9908765380944766
0.000171,256,0.084165,125,run_01_001_0009,0.9704353648575279
0.000171,256,0.084165,125,run_01_001_0022,1.0085640781665348
0.000171,256,0.084165,125,run_01_001_0016,1.021401150256019
0.000171,256,0.084165,125,run_01_001_0006,0.9808682403460232
0.000171,256,0.084165,125,run_01_001_0002,0.9996638286246093
0.000171,256,0.084165,125,run_01_001_0005,1.0143333939734753
0.000171,256,0.084165,125,run_01_001_0015,0.9808090034791631
0.000171,256,0.084165,125,run_01_001_0012,1.0191350397176435
0.000171,256,0.084165,125,run_01_001_0018,1.0123084247666394
0.000171,256,0.084165,125,run_01_001_0019,0.9826564564759213
